Department,Teaching Links,Total
Accounting,4 (teaching only 1),5
Anthropology,4 (1),5
Economics,8 (7),15
Economic History,3,3
Finance,4 (3),7
Geography and Environment,4 (1),5
Government,12 (2),14
International History,4 (1),5
International Relations,7 (2),9
Law,4 (1),5
Management,3,3
Mathematics,2 (2),4
Media and Communications,1 (1),2
Methodology,0,0
"Philosophy, Logic, Scientific Method",3 (1),4
